,ECG0
153,0.143296849
154,0.1395428
155,0.135789739
156,0.137573867
157,0.13751358
158,0.135608879
159,0.135550563
160,0.135493231
161,0.13174608
162,0.133536112
163,0.131636324
164,0.131582915
165,0.129685084
166,0.131479031
167,0.124046951
168,0.125842848
169,0.125794318
170,0.131282961
171,0.127545571
172,0.127499952
173,0.121919098
174,0.121875411
175,0.12367809
176,0.123636331
177,0.127286335
178,0.121710295
179,0.121671415
180,0.123478892
181,0.125287323
182,0.13263291
183,0.139979447
184,0.13809993
185,0.138066762
186,0.14357074
187,0.147230262
188,0.150890726
189,0.152706729
190,0.154523669
191,0.150805344
192,0.152624154
193,0.154443895
194,0.161800768
195,0.161776966
196,0.161754089
197,0.156195934
198,0.159865702
199,0.163536389
200,0.165362591
201,0.161653505
202,0.161636133
203,0.150547266
204,0.146840908
205,0.148671657
206,0.144967106
207,0.141263454
208,0.141251501
209,0.141240442
210,0.146766477
211,0.1486026
212,0.146748809
213,0.144895902
214,0.131971473
215,0.124584124
216,0.122733854
217,0.120884457
218,0.11903593
219,0.115342871
220,0.109805277
221,0.100577743
222,0.098732671
223,0.100579257
224,0.100581295
225,0.095047983
226,0.089515518
227,0.091365501
228,0.089525524
229,0.091377186
230,0.093229685
231,0.096928416
232,0.091400974
233,0.085874358
234,0.089575568
235,0.093277598
236,0.093289643
237,0.095147903
238,0.09147077
239,0.089639846
240,0.091500525
241,0.093362005
242,0.091533481
243,0.09155115
244,0.086033407
245,0.07682565
246,0.065773275
247,0.041803875
248,0.027062253
249,0.023393807
250,0.038180135
251,0.062194231
252,0.097281491
253,0.163741319
254,0.274491514
255,0.414768867
256,0.555046967
257,0.680562603
258,0.798697375
259,0.88730647
260,0.924245079
261,0.905822396
262,0.826502214
263,0.662294322
264,0.470406134
265,0.289591058
266,0.154911701
267,0.079285863
268,0.049795735
269,0.047987306
270,0.06278817
271,0.09235292
272,0.120072947
273,0.133030443
274,0.123843799
275,0.109121617
276,0.103627097
277,0.103669433
278,0.101867019
279,0.101910649
280,0.096418718
281,0.087236621
282,0.083591357
283,0.081792118
284,0.083684302
285,0.081886301
286,0.076398109
287,0.070910524
288,0.072805143
289,0.076545759
290,0.078441566
291,0.072956357
292,0.071162531
293,0.063833081
294,0.069422006
295,0.075011498
296,0.07137455
297,0.07327436
298,0.069638521
299,0.067848629
300,0.071595481
301,0.067961268
302,0.068018389
303,0.069921437
304,0.071825008
305,0.064502092
306,0.070097493
307,0.073848001
308,0.075753611
309,0.081350519
310,0.074030115
311,0.070401
312,0.07784477
313,0.085289018
314,0.083506735
315,0.08357032
316,0.083634368
317,0.081853472
318,0.087454631
319,0.093056237
320,0.098658286
321,0.10056997
322,0.096945886
323,0.09701303
324,0.100771398
325,0.108220984
326,0.117516383
327,0.119430587
328,0.119499793
329,0.117723995
330,0.127020993
331,0.13816378
332,0.143770746
333,0.14937809
334,0.151295005
335,0.156903088
336,0.168047735
337,0.177347339
338,0.186647294
339,0.195947596
340,0.197866638
341,0.199786016
342,0.209087328
343,0.220234367
344,0.231381728
345,0.231457001
346,0.237068786
347,0.244526279
348,0.251984071
349,0.25944216
350,0.268745939
351,0.2669776
352,0.268900341
353,0.272668758
354,0.278282845
355,0.285742596
356,0.289511805
357,0.287745066
358,0.287823975
359,0.282366926
360,0.284291716
361,0.282525938
362,0.280760386
363,0.278995056
364,0.268002938
365,0.264392634
366,0.258937135
367,0.253481835
368,0.244335929
369,0.237035613
370,0.224199278
371,0.215053923
372,0.20590874
373,0.200454526
374,0.193155074
375,0.182164976
376,0.169329629
377,0.160185229
378,0.156577171
379,0.152969247
380,0.149361453
381,0.147599183
382,0.136610028
383,0.133002589
384,0.129395258
385,0.13316963
386,0.135098699
387,0.135182459
388,0.1205031
389,0.122432427
390,0.120671028
391,0.128136702
392,0.130066239
393,0.128305034
394,0.122853081
395,0.121091979
396,0.123021721
397,0.1212607
398,0.125035914
399,0.123274954
400,0.121514017
401,0.119753097
402,0.121682991
403,0.129149094
404,0.129233597
405,0.129318097
406,0.129402589
407,0.127641667
408,0.13141693
409,0.133346769
410,0.13527658
411,0.135360958
412,0.133599898
413,0.129993395
414,0.135613848
415,0.137543448
416,0.141318392
417,0.141402473
418,0.137795688
419,0.134188831
420,0.137963502
421,0.139892693
422,0.1436672
423,0.143750817
424,0.143834341
425,0.136536165
426,0.138464889
427,0.144084309
428,0.144167416
429,0.142405008
430,0.13879708
431,0.140725231
432,0.138962453
433,0.140890345
434,0.144663501
435,0.142900317
436,0.137446187
437,0.133837311
438,0.132073684
439,0.137691504
440,0.139618364
441,0.13785426
442,0.134244589
443,0.130634748
444,0.132560935
445,0.134486945
446,0.136412774
447,0.130956816
448,0.132882273
449,0.129271337
450,0.125660207
451,0.127585081
452,0.129509754
453,0.129588823
454,0.125976882
455,0.124210133
456,0.126133971
457,0.128057593
458,0.128135595
459,0.128213374
460,0.126445529
461,0.117295853
462,0.121063751
463,0.122986015
464,0.119371841
465,0.121293631
466,0.12136978
467,0.115909483
468,0.114139742
469,0.117905955
470,0.119826516
471,0.118056023
472,0.114439875
473,0.10897807
474,0.116433809
475,0.114662284
476,0.118426697
477,0.120345445
478,0.113036922
479,0.109418932
480,0.111336872
481,0.118790742
482,0.117017335
483,0.115243652
484,0.115315091
485,0.111695451
486,0.109920931
487,0.111836929
488,0.115598045
489,0.117513476
490,0.115737819
491,0.115807276
492,0.119567245
493,0.125172325
494,0.127086313
495,0.134536211
496,0.134604214
497,0.142053525
498,0.14396634
499,0.144033458
500,0.14410028
501,0.142321404
502,0.146078431
503,0.144298958
504,0.153591589
505,0.159193119
506,0.161103547
507,0.163013674
508,0.159387297
509,0.157606019
510,0.16136064
511,0.166960358
512,0.167023571
513,0.161550279
514,0.157922084
515,0.150602783
516,0.143283178
517,0.145190271
518,0.143406259
519,0.143467342
520,0.145373521
521,0.141743194
522,0.145494164
523,0.149244829
524,0.141922786
525,0.134600439
526,0.129123187
527,0.121800231
528,0.120013173
529,0.120071211
530,0.116438144
531,0.110959374
532,0.111016502
533,0.105537126
534,0.101902848
535,0.10380447
536,0.10201499
537,0.100225208
538,0.094744325
539,0.094799343
540,0.094854062
541,0.094908482
542,0.100498805
543,0.098707227
544,0.098760753
545,0.09143238
546,0.093330714
547,0.095228752
548,0.095281095
549,0.099023945
550,0.095384899
551,0.093590962
552,0.095487533
553,0.101074614
554,0.101125203
555,0.0974847
556,0.091998508
557,0.073594223
558,0.05149885
559,0.033093991
560,0.02760665
561,0.04426383
562,0.064611527
563,0.094185943
564,0.160668087
565,0.278821166
566,0.426500372
567,0.585251701
568,0.716321741
569,0.828937495
570,0.908335759
571,0.94159873
572,0.9010454
573,0.766376363
574,0.554200224
575,0.334642208
576,0.166755132
577,0.083756209
578,0.05980983
579,0.063544187
580,0.076505274
581,0.107920093
582,0.131953039
583,0.137531706
584,0.124656097
585,0.117316419
586,0.10997647
587,0.110017854
588,0.110058969
589,0.113790616
590,0.10460419
591,0.095417497
592,0.088075936
593,0.080734108
594,0.080773616
595,0.084503659
596,0.084542634
597,0.084581344
598,0.075392786
599,0.073585565
600,0.07177808
601,0.079197334
602,0.081080123
603,0.079271848
604,0.082999511
605,0.075654509
606,0.079381648
607,0.081263125
608,0.084989742
609,0.081334495
610,0.08136979
611,0.075868622
612,0.079594198
613,0.083319515
614,0.087044572
615,0.08338777
616,0.088957711
617,0.081609592
618,0.09086982
619,0.090902788
620,0.0909355
621,0.094658757
622,0.092845556
623,0.096568302
624,0.100290792
625,0.104013028
626,0.113271211
627,0.115147538
628,0.11333281
629,0.113363229
630,0.117084196
631,0.124495711
632,0.133752375
633,0.139317985
634,0.143037943
635,0.143066847
636,0.156013305
637,0.163423309
638,0.167142262
639,0.174551764
640,0.180115616
641,0.185679217
642,0.194933368
643,0.20418727
644,0.217131723
645,0.228230525
646,0.228256674
647,0.233818774
648,0.241226026
649,0.246787627
650,0.25788518
651,0.261600881
652,0.263470931
653,0.26349533
654,0.274591883
655,0.276461183
656,0.291248037
657,0.291271435
658,0.287603781
659,0.285781277
660,0.291340124
661,0.293207918
662,0.293230059
663,0.287715747
664,0.282201181
665,0.271150161
666,0.271171292
667,0.269346767
668,0.263831187
669,0.260160753
670,0.238036058
671,0.230674311
672,0.223312308
673,0.219640849
674,0.214123732
675,0.204915556
676,0.190170918
677,0.180962223
678,0.173598669
679,0.169925654
680,0.166252378
681,0.16257884
682,0.153368837
683,0.147849371
684,0.146020442
685,0.147882048
686,0.142361786
687,0.144222859
688,0.135011261
689,0.133180997
690,0.135041264
691,0.138746662
692,0.138760987
693,0.13692964
694,0.13694342
695,0.135111526
696,0.138815559
697,0.140673916
698,0.138841196
699,0.138853599
700,0.137020323
701,0.135186768
702,0.137043735
703,0.140745821
704,0.144447626
705,0.142612946
706,0.142623384
707,0.138942736
708,0.140798005
709,0.142652988
710,0.146353084
711,0.144516692
712,0.14083461
713,0.140843039
714,0.146387381
715,0.144549829
716,0.148248187
717,0.150100852
718,0.146417021
719,0.142732896
720,0.142739278
721,0.146436165
722,0.151978155
723,0.151983647
724,0.14829804
725,0.142766733
726,0.148307531
727,0.148311827
728,0.150161222
729,0.152010316
730,0.142786705
731,0.146480595
732,0.142792579
733,0.150176664
734,0.144642639
735,0.148335313
736,0.142800678
737,0.142801938
738,0.144648293
739,0.146494341
740,0.150185482
741,0.150185515
742,0.148339838
743,0.13911225
744,0.142802157
745,0.144646355
746,0.142799441
747,0.142797619
748,0.139104684
749,0.13725684
750,0.137254086
751,0.135405621
752,0.137247646
753,0.135398558
754,0.131703758
755,0.128008647
756,0.131694828
757,0.129844494
758,0.133530052
759,0.131679096
760,0.124291627
761,0.124285449
762,0.12612436
763,0.129808361
764,0.12795585
765,0.127948428
766,0.124249895
767,0.120551052
768,0.122388101
769,0.124224841
770,0.120525069
771,0.12051579
772,0.116815402
773,0.114960106
774,0.114949904
775,0.116784796
776,0.118619381
777,0.11860826
778,0.114906033
779,0.114894302
780,0.114882268
781,0.116715332
782,0.116702692
783,0.116689752
784,0.118521911
785,0.118508369
786,0.118494529
787,0.124016593
788,0.124002158
789,0.125832827
790,0.116590798
791,0.116575477
792,0.120250665
793,0.12023476
794,0.123909365
795,0.131274482
796,0.129412307
797,0.136776848
798,0.142295703
799,0.144123471
800,0.147796357
801,0.149623561
802,0.144068881
803,0.142204723
804,0.14772189
805,0.15139338
806,0.158755396
807,0.158735536
808,0.153179203
809,0.149467999
810,0.15498353
811,0.162344195
812,0.15863219
813,0.158610723
814,0.154898192
815,0.1474946
816,0.145626951
817,0.138222843
818,0.138200082
819,0.140022468
820,0.136308401
821,0.138130286
822,0.139951923
823,0.147309516
824,0.145439861
825,0.139879164
826,0.130627424
827,0.123220847
828,0.121350236
829,0.125015592
830,0.123144514
831,0.119427805
832,0.112020067
833,0.106457504
834,0.106430918
835,0.100867908
836,0.10084088
837,0.097122834
838,0.097095373
839,0.097067699
840,0.100730615
841,0.104393322
842,0.10436502
843,0.098800313
844,0.093235403
845,0.091361095
846,0.09502279
847,0.098684289
848,0.100500195
849,0.102315909
850,0.100440633
851,0.096719771
852,0.096689525
853,0.098504497
854,0.10031929
855,0.098443104
856,0.096566743
857,0.089154007
858,0.074359498
859,0.054028619
860,0.042924577
861,0.048428976
862,0.066851017
863,0.090809101
864,0.131375633
865,0.20146842
866,0.326923071
867,0.461604575
868,0.59628593
869,0.712513133
870,0.819513189
871,0.885914289
872,0.891417031
873,0.81941281
874,0.655138423
875,0.444728888
876,0.254618627
877,0.129097258
878,0.070010181
879,0.051521792
880,0.053332686
881,0.086515267
882,0.12338853
883,0.139962268
884,0.136236483
885,0.117747378
886,0.112175966
887,0.104759042
888,0.110259813
889,0.108378874
890,0.10649783
891,0.100925882
892,0.08981763
893,0.087936281
894,0.086054834
895,0.087864091
896,0.087827853
897,0.085946122
898,0.0840643
899,0.080336987
900,0.083991189
901,0.083954504
902,0.082072334
903,0.085726283
904,0.081998549
905,0.083806938
906,0.085615249
907,0.089268885
908,0.087386245
909,0.083658133
910,0.08177535
911,0.081737899
912,0.08170038
913,0.087198998
914,0.085315949
915,0.08896904
916,0.085240468
917,0.081511837
918,0.08331935
919,0.09435381
920,0.096161214
921,0.096123164
922,0.094239663
923,0.086819911
924,0.097854118
925,0.101506676
926,0.10515919
927,0.10512086
928,0.101391687
929,0.103198677
930,0.11054183
931,0.114194146
932,0.121537227
933,0.123344074
934,0.126996289
935,0.130648474
936,0.137991431
937,0.14533436
938,0.152677263
939,0.15448394
940,0.161826796
941,0.165478828
942,0.172821641
943,0.182009836
944,0.185661811
945,0.194849972
946,0.198501915
947,0.202153845
948,0.213187365
949,0.222375472
950,0.227872768
951,0.235215456
952,0.238867335
953,0.240673807
954,0.244325673
955,0.251668336
956,0.262701797
957,0.264508253
958,0.264469306
959,0.266275759
960,0.273618415
961,0.27542487
962,0.280922129
963,0.282728589
964,0.27346265
965,0.271578318
966,0.277075593
967,0.273345872
968,0.275152359
969,0.271422652
970,0.262156751
971,0.25658166
972,0.249161178
973,0.245431507
974,0.239856445
975,0.225054392
976,0.221324753
977,0.210213524
978,0.202793108
979,0.197218106
980,0.195333917
981,0.18606814
982,0.176802376
983,0.163845825
984,0.161961692
985,0.160077573
986,0.16188427
987,0.154463979
988,0.148889104
989,0.145159645
990,0.143275602
991,0.146927776
992,0.148734565
993,0.143159768
994,0.135739587
995,0.132010222
996,0.139353278
997,0.137469346
998,0.139276232
999,0.137392334
1000,0.13181765
1001,0.135469986
1002,0.135431537
1003,0.137238505
1004,0.135354688
1005,0.135316288
1006,0.129741703
1007,0.133394137
1008,0.135201186
1009,0.137008252
1010,0.135124533
1011,0.138777032
1012,0.136893346
1013,0.140545877
1014,0.140507623
1015,0.142314786
1016,0.140431163
1017,0.142238357
1018,0.144045568
1019,0.145852794
1020,0.147660035
1021,0.149467292
1022,0.145738364
1023,0.143854851
1024,0.149352956
1025,0.149314875
1026,0.147431408
1027,0.151084159
1028,0.152891524
1029,0.152853504
1030,0.149124699
1031,0.15093211
1032,0.152739536
1033,0.154546978
1034,0.154509034
1035,0.152625705
1036,0.14889699
1037,0.152549894
1038,0.152512011
1039,0.150628743
1040,0.154281692
1041,0.152398455
1042,0.150515233
1043,0.148632027
1044,0.155975839
1045,0.152247264
1046,0.148518705
1047,0.148480962
1048,0.146597836
1049,0.146560126
1050,0.148367833
1051,0.148330156
1052,0.144601695
1053,0.13902785
1054,0.138990225
1055,0.138952616
1056,0.142605827
1057,0.142568254
1058,0.138839899
1059,0.136956962
1060,0.131383244
1061,0.135036547
1062,0.134999069
1063,0.13311621
1064,0.129387971
1065,0.127505153
1066,0.125622357
1067,0.125584982
1068,0.129238431
1069,0.129201101
1070,0.127318393
1071,0.125435709
1072,0.118016847
1073,0.121670414
1074,0.123478605
1075,0.125286821
1076,0.123404263
1077,0.121521732
1078,0.117793828
1079,0.119602154
1080,0.12325591
1081,0.123218895
1082,0.119491109
1083,0.117608755
1084,0.115726432
1085,0.115689544
1086,0.11934349
1087,0.12115207
1088,0.121115285
1089,0.117387736
1090,0.115505624
1091,0.115468951
1092,0.119123118
1093,0.124622726
1094,0.124586173
1095,0.11716806
1096,0.115286192
1097,0.11894057
1098,0.118904191
1099,0.124404061
1100,0.124367777
1101,0.129867743
1102,0.127986156
1103,0.133486223
1104,0.144522544
1105,0.146331914
1106,0.14814134
1107,0.144414619
1108,0.144378756
1109,0.148033753
1110,0.149843409
1111,0.155343927
1112,0.160844506
1113,0.158963547
1114,0.155237253
1115,0.153356424
1116,0.162548067
1117,0.168048978
1118,0.168013757
1119,0.162442406
1120,0.156871128
1121,0.151299925
1122,0.151264999
1123,0.147539349
1124,0.140122978
1125,0.138242888
1126,0.138208281
1127,0.143709958
1128,0.149211721
1129,0.151022769
1130,0.141761501
1131,0.138036524
1132,0.128775436
1133,0.125050643
1134,0.126862145
1135,0.123137541
1136,0.113876832
1137,0.108307023
1138,0.106428115
1139,0.111930912
1140,0.108206809
1141,0.106328211
1142,0.10444972
1143,0.098880535
1144,0.093311461
1145,0.100660301
1146,0.098782252
1147,0.096904317
1148,0.096871899
1149,0.094994197
1150,0.094962015
1151,0.094929954
1152,0.094898016
1153,0.100402402
1154,0.096679912
1155,0.092957548
1156,0.092926114
1157,0.096585611
1158,0.098399839
1159,0.096523399
1160,0.098337895
1161,0.092770924
1162,0.08166789
1163,0.066874193
1164,0.048389835
1165,0.037287222
1166,0.048329559
1167,0.070444444
1168,0.101786478
1169,0.168191271
1170,0.280731228
1171,0.432024746
1172,0.585163817
1173,0.721694435
1174,0.830544198
1175,0.906176905
1176,0.92460235
1177,0.863675727
1178,0.712324633
1179,0.496384678
1180,0.284135684
1181,0.12909427
1182,0.053405244
1183,0.045996204
1184,0.062577535
1185,0.095767636
1186,0.123421702
1187,0.132621929
1188,0.130749919
1189,0.117805675
1190,0.108552401
1191,0.104835499
1192,0.106654969
1193,0.101093008
1194,0.09737662
1195,0.091815004
1196,0.089944363
1197,0.086228495
1198,0.084358202
1199,0.082488085
1200,0.084308944
1201,0.08612998
1202,0.082414991
1203,0.075009378
1204,0.074985546
1205,0.080498093
1206,0.080474618
1207,0.082296723
1208,0.080428207
1209,0.080405271
1210,0.078537116
1211,0.080359943
1212,0.07849215
1213,0.07846994
1214,0.078447912
1215,0.078426067
1216,0.074713604
1217,0.078382927
1218,0.085743234
1219,0.085722124
1220,0.083855797
1221,0.083835055
1222,0.083814498
1223,0.081948726
1224,0.087464742
1225,0.092980943
1226,0.091115728
1227,0.0947869
1228,0.092922057
1229,0.094748202
1230,0.102110735
1231,0.103937253
1232,0.109454759
1233,0.10943625
1234,0.11310873
1235,0.113090595
1236,0.116763448
1237,0.125972691
1238,0.127800518
1239,0.131473932
1240,0.135147534
1241,0.144357525
1242,0.153567702
1243,0.160932665
1244,0.170143216
1245,0.171972351
1246,0.173801671
1247,0.18301278
1248,0.194069476
1249,0.203280956
1250,0.210647221
1251,0.21801367
1252,0.217998701
1253,0.22905632
1254,0.241959523
1255,0.247481306
1256,0.249312471
1257,0.256680019
1258,0.254820746
1259,0.267724858
1260,0.278783749
1261,0.280615817
1262,0.287984265
1263,0.282435087
1264,0.286113089
1265,0.291636667
1266,0.297160421
1267,0.295302747
1268,0.300826849
1269,0.295278719
1270,0.286039959
1271,0.286028373
1272,0.289707757
1273,0.287851108
1274,0.282303824
1275,0.271220504
1276,0.256446547
1277,0.254590558
1278,0.249043929
1279,0.24349746
1280,0.230569548
1281,0.223177996
1282,0.208404998
1283,0.204704557
1284,0.19915887
1285,0.193613334
1286,0.184377147
1287,0.173295708
1288,0.164059816
1289,0.164051073
1290,0.158506272
1291,0.158497814
1292,0.151107894
1293,0.147408914
1294,0.143710071
1295,0.13447516
1296,0.140003588
1297,0.138150545
1298,0.138143032
1299,0.134444846
1300,0.128901385
1301,0.12889425
1302,0.132578038
1303,0.130725744
1304,0.134409771
1305,0.127021511
1306,0.123324167
1307,0.128853938
1308,0.132538419
1309,0.134377608
1310,0.130680703
1311,0.128829303
1312,0.125132605
1313,0.132508412
1314,0.134348116
1315,0.138033318
1316,0.136182413
1317,0.134331601
1318,0.13248088
1319,0.139857252
1320,0.141697509
1321,0.143537851
1322,0.139842075
1323,0.13614638
1324,0.136141566
1325,0.13982763
1326,0.14351377
1327,0.143509182
1328,0.145350067
1329,0.14350022
1330,0.141650441
1331,0.145336929
1332,0.150868883
1333,0.149019296
1334,0.14901517
1335,0.147165701
1336,0.143470889
1337,0.143466933
1338,0.14715383
1339,0.147149978
1340,0.150836976
1341,0.147142419
1342,0.141602507
1343,0.143444242
1344,0.15082222
1345,0.145282435
1346,0.145278891
1347,0.143429983
1348,0.13973571
1349,0.145268473
1350,0.143419667
1351,0.14157089
1352,0.137876743
1353,0.137873423
1354,0.134179329
1355,0.139712261
1356,0.139709015
1357,0.13970579
1358,0.136011784
1359,0.134163196
1360,0.126778424
1361,0.132311471
1362,0.135999132
1363,0.134150605
1364,0.130456688
1365,0.130453582
1366,0.124914284
1367,0.126756596
1368,0.126753514
1369,0.128595838
1370,0.124901964
1371,0.123053494
1372,0.121205026
1373,0.123047361
1374,0.126735095
1375,0.126732027
1376,0.123038157
1377,0.11196268
1378,0.113805004
1379,0.117492723
1380,0.123025838
1381,0.121177343
1382,0.119328841
1383,0.115634931
1384,0.110095611
1385,0.113783284
1386,0.115625547
1387,0.117467798
1388,0.113773836
1389,0.113770664
1390,0.111922078
1391,0.11376428
1392,0.113761068
1393,0.115603242
1394,0.113754601
1395,0.110060544
1396,0.110057273
1397,0.111899387
1398,0.115586885
1399,0.117428967
1400,0.115580231
1401,0.11926768
1402,0.119264311
1403,0.119260925
1404,0.126639124
1405,0.135862707
1406,0.135859269
1407,0.139546615
1408,0.141388543
1409,0.141385053
1410,0.146917747
1411,0.148759623
1412,0.150601482
1413,0.150597923
1414,0.152439748
1415,0.154281557
1416,0.156123348
1417,0.156119723
1418,0.159806883
1419,0.161648626
1420,0.156108752
1421,0.159795865
1422,0.157946762
1423,0.154252244
1424,0.148712311
1425,0.143172365
1426,0.135787004
1427,0.132092432
1428,0.137624851
1429,0.143157257
1430,0.144998852
1431,0.143149634
1432,0.137609605
1433,0.135760367
1434,0.130220319
1435,0.126525664
1436,0.126521801
1437,0.117290929
1438,0.10990545
1439,0.108056168
1440,0.109897681
1441,0.106202989
1442,0.100662892
1443,0.095122791
1444,0.09142809
1445,0.093269588
1446,0.095111086
1447,0.091416382
1448,0.093257881
1449,0.087717779
1450,0.089559282
1451,0.093246189
1452,0.091396898
1453,0.093238413
1454,0.093234534
1455,0.09138526
1456,0.087690594
1457,0.085841336
1458,0.095064492
1459,0.096906055
1460,0.093211427
1461,0.093207613
1462,0.085822209
1463,0.08397302
1464,0.072896842
1465,0.054439078
1466,0.03598133
1467,0.032286803
1468,0.041510098
1469,0.072878219
1470,0.117164164
1471,0.19466734
1472,0.31646015
1473,0.467779392
1474,0.613562455
1475,0.755654739
1476,0.864529837
1477,0.921733743
1478,0.923575657
1479,0.860828576
1480,0.698429889
1481,0.486205414
1482,0.28320797
1483,0.146644975
1484,0.072825629
1485,0.05436833
1486,0.063592069
1487,0.093115246
1488,0.122638453
1489,0.141089288
1490,0.133704547
1491,0.113402033
1492,0.102326555
1493,0.106014314
1494,0.107856706
1495,0.107853731
1496,0.098623788
1497,0.091239279
1498,0.085700205
1499,0.085697368
1500,0.089385367
1501,0.089382601
1502,0.081998269
1503,0.078304773
1504,0.076456715
1505,0.078299495
1506,0.081987713
1507,0.081985167
1508,0.081982658
1509,0.078289386
1510,0.072750751
1511,0.074593758
1512,0.078282203
1513,0.078279886
1514,0.078277608
1515,0.080120771
1516,0.07458237
1517,0.076425612
1518,0.078268893
1519,0.083803016
1520,0.083800978
1521,0.08010818
1522,0.076415422
1523,0.081949708
1524,0.085638635
1525,0.087482203
1526,0.089325813
1527,0.089324064
1528,0.087476957
1529,0.085629891
1530,0.091164471
1531,0.098544494
1532,0.098542957
1533,0.098541463
1534,0.100385413
1535,0.102229406
1536,0.109609643
1537,0.115144524
1538,0.116988647
1539,0.118832814
1540,0.122522424
1541,0.128057479
1542,0.137283379
1543,0.139127721
1544,0.144662907
1545,0.150198137
1546,0.15388801
1547,0.16495953
1548,0.16864949
1549,0.176030296
1550,0.181565744
1551,0.190792037
1552,0.194482171
1553,0.205553951
1554,0.214780373
1555,0.222161438
1556,0.231387945
1557,0.236923694
1558,0.236923282
1559,0.247995316
1560,0.259067391
1561,0.262757905
1562,0.26829386
1563,0.266448252
1564,0.271984287
1565,0.27567496
1566,0.283056474
1567,0.288592625
1568,0.292283412
1569,0.294128837
1570,0.290438096
1571,0.294128993
1572,0.294129124
1573,0.297820091
1574,0.29782029
1575,0.288593519
1576,0.281212181
1577,0.283057877
1578,0.279367402
1579,0.271986154
1580,0.262759535
1581,0.247996742
1582,0.240615578
1583,0.240616042
1584,0.233234928
1585,0.225853838
1586,0.211091168
1587,0.19632852
1588,0.188947494
1589,0.183411889
1590,0.177876301
1591,0.168649929
1592,0.161268974
1593,0.157578834
1594,0.150197906
1595,0.146507792
1596,0.14650849
1597,0.148354598
1598,0.144664512
1599,0.137283632
1600,0.131748159
1601,0.131748892
1602,0.135440429
1603,0.133595766
1604,0.135441905
1605,0.12990644
1606,0.120680172
1607,0.120680904
1608,0.128063233
1609,0.129909353
1610,0.129910066
1611,0.124374568
1612,0.12252986
1613,0.128066743
1614,0.128067411
1615,0.128068065
1616,0.131759504
1617,0.124378523
1618,0.124379125
1619,0.129915909
1620,0.137298073
1621,0.13360781
1622,0.137299126
1623,0.135454215
1624,0.133609277
1625,0.137300513
1626,0.13914632
1627,0.140992096
1628,0.139147039
1629,0.13914735
1630,0.135456825
1631,0.139147868
1632,0.142838873
1633,0.148375242
1634,0.144684568
1635,0.140993854
1636,0.139148498
1637,0.140993902
1638,0.150220864
1639,0.148375377
1640,0.148375245
1641,0.140993463
1642,0.140993235
1643,0.142838359
1644,0.148374233
1645,0.144683053
1646,0.150218824
1647,0.142836737
1648,0.142836198
1649,0.144681004
1650,0.148371154
1651,0.150215847
1652,0.144678879
1653,0.142832654
1654,0.137295567
1655,0.140985423
1656,0.140984417
1657,0.142828749
1658,0.142827617
1659,0.13729022
1660,0.13544356
1661,0.135442235
1662,0.139131646
1663,0.133593988
1664,0.135437866
