Cardiac Cycle (beat),ECG_P_Peaks,ECG_Q_Peaks,ECG_R_Peaks,ECG_S_Peaks,ECG_T_Peaks,Px,Py,Qx,Qy,Rx,Ry,Sx,Sy,Tx,Ty,OnQRS_x,OffQRS_x,OnQRS_y,OffQRS_y,PPinterval,QQinterval,RRinterval,SSinterval,TTinterval,PP2,QQ2,RR2,SS2,TT2,P-Pamplitude,Q-Qamplitude,R-Ramplitude,S-Samplitude,T-Tamplitude,R-R2amplitude,Q-Q2amplitude,R-R2amplitude,S-S2amplitude,T-T2amplitude,P->R interval,Q->S interval,Q->T interval,T->Q interval,P->R segment,S->T segment,PQ_y_diff,QR_y_diff,RS_y_diff,ST_y_diff,HRV-RRinterval,HRV-PreRRinterval,HRV-PosRRinterval,HPF X4,HPF X5
11,1881,1899,1905,1914,1967,0,-0.013183600000000002,18,-0.39770500000000003,24,0.8657229999999999,33,-0.0944824,86,0.037353500000000005,9.0,59.5,-0.32959,-0.026367200000000004,0,8,12,13,-36,1930,1938,1942,1943,1894,-0.0087891,0.3757323,-0.8261721999999999,0.0769043,-0.021972600000000005,-0.8261721999999999,0.3757323,-0.8261721999999999,0.0769043,-0.021972600000000005,24,15,68,-11,24,53,-0.3845214,1.263428,-0.9602053999999999,0.1318359,212,216,61,-4,-151
12,1930,1956,1966,1976,1980,0,-0.0219727,26,-0.0219727,36,0.039550800000000004,46,-0.0175781,50,0.0153809,13.0,48.0,-0.138428,-0.019775400000000002,0,12,7,10,20,2072,2084,2079,2082,2092,0.010986400000000002,-0.27465829999999997,0.7624512,-0.20873989999999998,0.0131836,0.7624512,-0.27465829999999997,0.7624512,-0.20873989999999998,0.0131836,36,20,24,130,36,4,0.0,0.06152350000000001,-0.0571289,0.032959,61,212,149,-151,88
13,2072,2110,2115,2128,2142,0,-0.0109863,38,-0.296631,43,0.802002,56,-0.226318,70,0.0285645,19.0,63.0,0.25708000000000003,-0.006591800000000001,0,-34,-32,-31,-21,2182,2148,2150,2151,2161,0.037353500000000005,0.296631,-0.689941,0.1977535,-0.01977544,-0.689941,0.296631,-0.689941,0.1977535,-0.01977544,43,18,32,44,43,14,-0.2856447,1.098633,-1.02832,0.2548825,149,61,78,88,-71
14,2182,2186,2193,2207,2231,0,0.026367200000000004,4,0.0,11,0.112061,25,-0.0285645,49,0.00878906,2.0,37.0,-0.054931600000000004,-0.0285645,0,21,24,16,50,2231,2252,2255,2247,2281,-0.017578140000000006,-0.0153809,-0.11865279999999999,-0.054931600000000004,0.6481929399999999,-0.11865279999999999,-0.0153809,-0.11865279999999999,-0.054931600000000004,0.6481929399999999,11,21,45,25,11,24,-0.026367200000000004,0.112061,-0.1406255,0.03735356,78,149,73,-71,-5
15,2231,2256,2266,2272,2330,0,0.00878906,25,-0.0153809,35,-0.006591800000000001,41,-0.0834961,99,0.656982,12.5,70.0,-0.283447,-0.006591800000000001,0,8,3,5,-24,2291,2299,2294,2296,2267,0.017578140000000006,-0.32080110000000006,0.7646488,-0.019774899999999998,-0.6372066,0.7646488,-0.32080110000000006,0.7646488,-0.019774899999999998,-0.6372066,35,16,74,-6,35,58,-0.024169959999999997,0.008789099999999998,-0.07690430000000001,0.7404780999999999,73,78,63,-5,-10
16,2291,2324,2329,2337,2366,0,0.026367200000000004,33,-0.33618200000000004,38,0.758057,46,-0.103271,75,0.019775400000000002,16.5,60.5,0.6811520000000001,-0.013183600000000002,0,-13,-13,-14,14,2520,2507,2507,2506,2534,0.010986300000000001,0.05712900000000004,-0.08789099999999994,-0.010986999999999997,0.0,-0.08789099999999994,0.05712900000000004,-0.08789099999999994,-0.010986999999999997,0.0,38,13,42,174,38,29,-0.3625492,1.094239,-0.861328,0.1230464,63,73,216,-10,153
17,2520,2540,2545,2552,2609,0,0.037353500000000005,20,-0.279053,25,0.670166,32,-0.114258,89,0.019775400000000002,10.0,60.5,-0.44824200000000003,-0.013183600000000002,0,-8,-11,-14,-23,2665,2657,2654,2651,2642,-0.032958970000000004,0.27685573,-0.6547851,0.0944826,-0.010986340000000002,-0.6547851,0.27685573,-0.6547851,0.0944826,-0.010986340000000002,25,12,69,68,25,57,-0.3164065,0.949219,-0.784424,0.1340334,216,63,134,153,-82
18,2665,2677,2679,2683,2731,0,0.00439453,12,-0.00219727,14,0.0153809,18,-0.019775400000000002,66,0.00878906,6.0,42.0,-0.0944824,-0.0285645,0,9,12,16,23,2731,2740,2743,2747,2754,0.00439453,-0.27905273,0.7976071,-0.065918,0.03295894,0.7976071,-0.27905273,0.7976071,-0.065918,0.03295894,14,6,54,21,14,48,-0.0065918,0.01757817,-0.0351563,0.02856446,134,216,78,-82,-56
19,2731,2752,2757,2765,2820,0,0.00878906,21,-0.28125,26,0.812988,34,-0.0856934,89,0.041748,10.5,61.5,-0.44824200000000003,-0.0153809,0,9,20,20,-27,2773,2782,2793,2793,2746,-0.04174806,0.2548828,-0.7668454,0.0681153,-0.0263671,-0.7668454,0.2548828,-0.7668454,0.0681153,-0.0263671,26,13,68,-17,26,55,-0.29003906,1.094238,-0.8986814000000001,0.1274414,78,134,62,-56,-16
20,2773,2803,2819,2827,2835,0,-0.032958999999999995,30,-0.026367200000000004,46,0.0461426,54,-0.0175781,62,0.0153809,15.0,58.0,0.371338,-0.039550800000000004,0,-13,-24,-24,23,2945,2932,2921,2921,2968,0.050537099999999995,-0.32519580000000003,0.7338863999999999,-0.08789090000000001,0.015380800000000003,0.7338863999999999,-0.32519580000000003,0.7338863999999999,-0.08789090000000001,0.015380800000000003,46,24,32,127,46,8,0.006591799999999991,0.0725098,-0.06372069999999999,0.032959,62,78,148,-16,86
21,2945,2962,2967,2975,3030,0,0.0175781,17,-0.351563,22,0.780029,30,-0.10546900000000001,85,0.030761700000000003,8.5,57.5,-0.19775399999999999,-0.032958999999999995,0,3,3,3,4,3156,3159,3159,3159,3160,0.0109864,0.019776000000000016,-0.028564000000000034,-0.004394000000000009,0.008789100000000001,-0.028564000000000034,0.019776000000000016,-0.028564000000000034,-0.004394000000000009,0.008789100000000001,22,13,68,146,22,55,-0.3691411,1.131592,-0.885498,0.1362307,148,62,214,86,66
22,3156,3176,3181,3189,3245,0,0.0285645,20,-0.331787,25,0.7514649999999999,33,-0.10986300000000002,89,0.039550800000000004,10.0,61.0,-0.44824200000000003,-0.0153809,0,-1,-1,-1,-2,3371,3370,3370,3370,3369,-0.008789099999999998,-0.019776000000000016,-0.05932599999999988,0.0021970000000000045,-0.0021972999999999993,-0.05932599999999988,-0.019776000000000016,-0.05932599999999988,0.0021970000000000045,-0.0021972999999999993,25,13,69,145,25,56,-0.3603515,1.0832519999999999,-0.861328,0.1494138,214,148,214,66,0
23,3371,3390,3395,3403,3458,0,0.019775400000000002,19,-0.351563,24,0.6921390000000001,32,-0.10766600000000001,87,0.037353500000000005,9.5,59.5,-0.32959,-0.026367200000000004,0,11,11,10,11,3575,3586,3586,3585,3586,0.0021972999999999993,0.02197300000000002,0.09887699999999988,-0.03295899999999999,-0.0043945000000000095,0.09887699999999988,0.02197300000000002,0.09887699999999988,-0.03295899999999999,-0.0043945000000000095,24,13,68,147,24,55,-0.3713384,1.0437020000000001,-0.7998050000000001,0.14501950000000002,214,214,215,0,1
24,3575,3605,3610,3617,3673,0,0.0219727,30,-0.32959,35,0.7910159999999999,42,-0.140625,98,0.032958999999999995,15.0,70.0,0.371338,-0.006591800000000001,0,-12,-11,-11,-13,3798,3786,3787,3787,3785,-0.0021972999999999993,-0.04394500000000001,-0.041747999999999896,0.037354,-0.010986299999999994,-0.041747999999999896,-0.04394500000000001,-0.041747999999999896,0.037354,-0.010986299999999994,35,12,68,143,35,56,-0.3515627,1.120606,-0.9316409999999999,0.173584,215,214,212,1,-3
25,3798,3816,3822,3829,3883,0,0.019775400000000002,18,-0.373535,24,0.749268,31,-0.103271,85,0.0219727,9.0,58.0,-0.32959,-0.039550800000000004,0,-9,4,22,-29,3883,3874,3887,3905,3854,0.0021972999999999993,0.3493651,-0.782227,0.09448194,-0.010986400000000002,-0.782227,0.3493651,-0.782227,0.09448194,-0.010986400000000002,24,13,67,9,24,54,-0.3933104,1.122803,-0.852539,0.1252437,212,215,89,-3,-123
26,3883,3892,3911,3936,3939,0,0.0219727,9,-0.0241699,28,-0.032958999999999995,53,-0.00878906,56,0.0109863,4.5,54.5,-0.037353500000000005,-0.032958999999999995,0,11,-3,-20,30,4010,4021,4007,3990,4040,-0.004394600000000002,-0.3098141,0.742676,-0.09228494,0.010986400000000002,0.742676,-0.3098141,0.742676,-0.09228494,0.010986400000000002,28,44,47,91,28,3,-0.046142600000000006,-0.008789099999999994,0.024169939999999994,0.01977536,89,212,124,-123,35
27,4010,4030,4035,4043,4096,0,0.0175781,20,-0.333984,25,0.709717,33,-0.101074,86,0.0219727,10.0,59.5,-0.44824200000000003,-0.026367200000000004,0,4,2,6,3,4136,4140,4138,4142,4139,-0.00878904,0.3032223,-0.71411153,0.1252439,-0.0087891,-0.71411153,0.3032223,-0.71411153,0.1252439,-0.0087891,25,13,66,64,25,53,-0.3515621,1.043701,-0.810791,0.1230467,124,89,128,35,4
28,4136,4160,4163,4175,4225,0,0.00878906,24,-0.030761700000000003,27,-0.00439453,39,0.0241699,89,0.013183600000000002,12.0,64.0,-0.283447,-0.0175781,0,-5,-3,-7,-3,4225,4220,4222,4218,4222,0.004394540000000002,-0.2504883,0.71411153,-0.12304689999999999,0.0109863,0.71411153,-0.2504883,0.71411153,-0.12304689999999999,0.0109863,27,15,65,19,27,50,-0.039550760000000004,0.026367170000000002,0.028564430000000002,-0.0109863,128,124,86,4,-42
29,4225,4244,4249,4257,4311,0,0.013183600000000002,19,-0.28125,24,0.709717,32,-0.09887699999999999,86,0.0241699,9.5,59.0,-0.32959,-0.026367200000000004,0,1,1,1,2,4435,4436,4436,4436,4437,0.01977539999999999,-0.07470700000000002,0.08788999999999991,-0.03295899999999999,0.0021973000000000027,0.08788999999999991,-0.07470700000000002,0.08788999999999991,-0.03295899999999999,0.0021973000000000027,24,13,67,144,24,54,-0.2944336,0.990967,-0.808594,0.12304689999999999,86,128,211,-42,125
30,4435,4455,4460,4468,4523,0,0.032958999999999995,20,-0.355957,25,0.797607,33,-0.13183599999999998,88,0.026367200000000004,10.0,60.5,-0.44824200000000003,-0.013183600000000002,0,0,1,0,-9,4648,4648,4649,4648,4639,-0.013183599999999993,-0.030761999999999956,-0.06811499999999993,0.030761999999999984,0.006591799999999991,-0.06811499999999993,-0.030761999999999956,-0.06811499999999993,0.030761999999999984,0.006591799999999991,25,13,68,145,25,55,-0.38891600000000004,1.153564,-0.9294429999999999,0.1582032,211,86,214,125,3
31,4648,4668,4674,4681,4727,0,0.019775400000000002,20,-0.386719,26,0.729492,33,-0.101074,79,0.032958999999999995,10.0,56.0,-0.44824200000000003,-0.0285645,0,-1,-2,-1,10,4864,4863,4862,4863,4874,0.006591800000000002,0.043945999999999985,-0.05932599999999999,0.00439429999999999,-0.006591799999999991,-0.05932599999999999,0.043945999999999985,-0.05932599999999999,0.00439429999999999,-0.006591799999999991,26,13,59,156,26,46,-0.4064944,1.116211,-0.830566,0.13403299999999999,214,211,214,3,0
32,4864,4883,4888,4896,4953,0,0.026367200000000004,19,-0.342773,24,0.670166,32,-0.09667970000000001,89,0.026367200000000004,9.5,60.5,-0.32959,-0.013183600000000002,0,1,1,1,-2,5078,5079,5079,5079,5076,-0.004394500000000003,0.019774999999999987,0.10546900000000003,-0.015381299999999987,0.004394499999999999,0.10546900000000003,0.019774999999999987,0.10546900000000003,-0.015381299999999987,0.004394499999999999,24,13,70,145,24,57,-0.3691402,1.012939,-0.7668457000000001,0.12304690000000001,214,214,215,0,1
33,5078,5098,5103,5111,5165,0,0.0219727,20,-0.322998,25,0.7756350000000001,33,-0.112061,87,0.030761700000000003,10.0,60.0,-0.44824200000000003,-0.013183600000000002,0,-1,-1,-1,-1,5291,5290,5290,5290,5290,0.0021972,0.017578000000000038,0.02636699999999992,0.013184000000000001,-0.010986300000000001,0.02636699999999992,0.017578000000000038,0.02636699999999992,0.013184000000000001,-0.010986300000000001,25,13,67,145,25,54,-0.3449707,1.098633,-0.887696,0.1428227,215,214,212,1,-3
34,5291,5310,5315,5323,5377,0,0.0241699,19,-0.30541999999999997,24,0.802002,32,-0.09887699999999999,86,0.019775400000000002,9.5,59.0,-0.32959,-0.026367200000000004,0,1,1,1,-30,5507,5508,5508,5508,5477,0.015380900000000003,-0.02197300000000002,-0.061522999999999994,-0.0021970000000000045,-0.026367200000000004,-0.061522999999999994,-0.02197300000000002,-0.061522999999999994,-0.0021970000000000045,-0.026367200000000004,24,13,67,150,24,54,-0.3295899,1.107422,-0.900879,0.11865239999999999,212,215,217,-3,5
35,5507,5527,5532,5540,5563,0,0.039550800000000004,20,-0.327393,25,0.740479,33,-0.101074,56,-0.006591800000000001,10.0,44.5,-0.44824200000000003,-0.0285645,0,0,0,-2,34,5726,5726,5726,5724,5760,-0.017578100000000003,0.03295899999999996,-0.013183999999999974,-0.0021970000000000045,0.032959,-0.013183999999999974,0.03295899999999996,-0.013183999999999974,-0.0021970000000000045,0.032959,25,13,36,183,25,23,-0.3669438,1.067872,-0.841553,0.0944822,217,212,219,5,2
36,5726,5746,5751,5757,5816,0,0.0219727,20,-0.29443400000000003,25,0.727295,31,-0.103271,90,0.026367200000000004,10.0,60.5,-0.44824200000000003,-0.013183600000000002,0,4,3,2,-5,5857,5861,5860,5859,5852,-0.0153809,0.2702641,-0.7075196,0.0878901,0.0,-0.7075196,0.2702641,-0.7075196,0.0878901,0.0,25,11,70,65,25,59,-0.31640670000000004,1.021729,-0.830566,0.1296382,219,217,134,2,-85
37,5857,5881,5885,5890,5942,0,0.006591800000000001,24,-0.0241699,28,0.019775400000000002,33,-0.0153809,85,0.026367200000000004,12.0,59.0,-0.283447,-0.026367200000000004,0,-5,-3,-1,2,5942,5937,5939,5941,5944,0.019775400000000002,-0.3823241,0.7470706,-0.11865209999999998,0.004394499999999999,0.7470706,-0.3823241,0.7470706,-0.11865209999999998,0.004394499999999999,28,9,61,19,28,52,-0.030761700000000003,0.04394530000000001,-0.0351563,0.0417481,134,219,82,-85,-52
38,5942,5961,5967,5974,6029,0,0.026367200000000004,19,-0.406494,25,0.766846,32,-0.13403299999999999,87,0.030761700000000003,9.5,59.5,-0.32959,-0.026367200000000004,0,0,0,0,4,6158,6158,6158,6158,6162,-0.004394500000000003,0.0,-0.0021980000000000333,0.008788999999999991,-0.008789000000000002,-0.0021980000000000333,0.0,-0.0021980000000000333,0.008788999999999991,-0.008789000000000002,25,13,68,148,25,55,-0.4328612,1.17334,-0.900879,0.1647947,82,134,216,-52,134
39,6158,6177,6183,6190,6249,0,0.0219727,19,-0.406494,25,0.764648,32,-0.125244,91,0.0219727,9.5,61.5,-0.32959,-0.0153809,0,0,1,35,6,6305,6305,6306,6340,6311,-0.01977543,0.39770494,-0.511962,0.092285,0.5998533,-0.511962,0.39770494,-0.511962,0.092285,0.5998533,25,13,72,75,25,59,-0.42846670000000003,1.1711420000000001,-0.889892,0.1472167,216,82,148,134,-68
40,6305,6324,6331,6372,6402,0,0.00219727,19,-0.00878906,26,0.252686,67,-0.032958999999999995,97,0.621826,9.5,82.0,-0.32959,0.0109863,0,1,-1,-34,-8,6376,6377,6375,6342,6368,0.02636723,-0.30981494,0.457031,-0.0593262,-0.5976561,0.457031,-0.30981494,0.457031,-0.0593262,-0.5976561,26,48,78,-6,26,30,-0.010986329999999999,0.26147506000000004,-0.28564500000000004,0.654785,148,216,70,-68,-78
41,6376,6396,6401,6409,6465,0,0.0285645,20,-0.318604,25,0.709717,33,-0.0922852,89,0.0241699,10.0,61.0,-0.44824200000000003,-0.0153809,0,-4,-4,-4,-5,6600,6596,6596,6596,6595,-0.0109864,0.048339999999999994,0.0021970000000000045,-0.0087888,0.0043945999999999985,0.0021970000000000045,0.048339999999999994,0.0021970000000000045,-0.0087888,0.0043945999999999985,25,13,69,151,25,56,-0.3471685,1.028321,-0.8020022,0.1164551,70,148,220,-78,150
42,6600,6616,6621,6629,6684,0,0.0175781,16,-0.270264,21,0.711914,29,-0.101074,84,0.0285645,8.0,56.5,-0.19775399999999999,-0.0285645,0,4,3,2,3,6811,6815,6814,6813,6814,0.013183600000000004,-0.061522999999999994,0.09228499999999995,-0.039551,0.004394499999999996,0.09228499999999995,-0.061522999999999994,0.09228499999999995,-0.039551,0.004394499999999996,21,13,68,147,21,55,-0.2878421,0.982178,-0.812988,0.1296385,220,70,214,150,-6
43,6811,6831,6835,6842,6898,0,0.030761700000000003,20,-0.331787,24,0.804199,31,-0.140625,87,0.032958999999999995,10.0,59.0,-0.44824200000000003,-0.026367200000000004,0,0,2,2,1,7025,7025,7027,7027,7026,-0.013183600000000004,-0.05493199999999998,-0.050537000000000054,0.010985999999999996,-0.008789099999999994,-0.050537000000000054,-0.05493199999999998,-0.050537000000000054,0.010985999999999996,-0.008789099999999994,24,11,67,147,24,56,-0.3625487,1.135986,-0.944824,0.173584,214,220,216,-6,2
44,7025,7045,7051,7058,7113,0,0.0175781,20,-0.386719,26,0.7536619999999999,33,-0.129639,88,0.0241699,10.0,60.5,-0.44824200000000003,-0.013183600000000002,0,-1,-2,-1,-1,7243,7242,7241,7242,7242,0.006591800000000002,0.046142999999999934,-0.04833999999999994,0.026368000000000003,0.0021973000000000027,-0.04833999999999994,0.046142999999999934,-0.04833999999999994,0.026368000000000003,0.0021973000000000027,26,13,68,149,26,55,-0.40429709999999996,1.1403809999999999,-0.8833009999999999,0.1538089,216,214,216,2,0
45,7243,7262,7267,7275,7330,0,0.0241699,19,-0.34057600000000005,24,0.705322,32,-0.103271,87,0.026367200000000004,9.5,59.5,-0.32959,-0.026367200000000004,0,0,1,0,4,7460,7460,7461,7460,7464,0.0,-0.02197299999999991,-0.03295899999999996,-0.010986999999999997,-0.006591800000000002,-0.03295899999999996,-0.02197299999999991,-0.03295899999999996,-0.010986999999999997,-0.006591800000000002,24,13,68,149,24,55,-0.36474590000000007,1.045898,-0.808593,0.1296382,216,216,218,0,2
46,7460,7479,7485,7492,7551,0,0.0241699,19,-0.36254899999999995,25,0.672363,32,-0.114258,91,0.019775400000000002,9.5,61.5,-0.32959,-0.0153809,0,-2,-3,-3,-6,7677,7675,7674,7674,7671,-0.0021972,0.08129899999999995,0.09448299999999998,-0.008789000000000005,0.008789099999999998,0.09448299999999998,0.08129899999999995,0.09448299999999998,-0.008789000000000005,0.008789099999999998,25,13,72,143,25,59,-0.3867189,1.034912,-0.786621,0.1340334,218,216,214,2,-4
47,7677,7694,7699,7706,7762,0,0.0219727,17,-0.28125,22,0.766846,29,-0.123047,85,0.0285645,8.5,57.0,-0.19775399999999999,-0.032958999999999995,0,2,3,3,4,7883,7885,7886,7886,7887,-0.006591800000000002,-0.103271,0.015380999999999978,0.00439500000000001,0.006591800000000002,0.015380999999999978,-0.103271,0.015380999999999978,0.00439500000000001,0.006591800000000002,22,12,68,140,22,56,-0.3032227,1.0480960000000001,-0.889893,0.1516115,214,218,209,-4,-5
48,7883,7902,7908,7915,7972,0,0.0153809,19,-0.384521,25,0.782227,32,-0.118652,89,0.0351563,9.5,60.5,-0.32959,-0.013183600000000002,0,1,0,1,0,8093,8094,8093,8094,8093,0.006591800000000002,0.050537,-0.06152400000000002,0.0241696,-0.006591800000000002,-0.06152400000000002,0.050537,-0.06152400000000002,0.0241696,-0.006591800000000002,25,13,70,141,25,57,-0.3999019,1.1667480000000001,-0.900879,0.1538083,209,214,210,-5,1
49,8093,8113,8118,8126,8182,0,0.0219727,20,-0.333984,25,0.720703,33,-0.0944824,89,0.0285645,10.0,61.0,-0.44824200000000003,-0.0153809,0,0,0,-1,0,8302,8302,8302,8301,8302,0.0021972,0.0065910000000000135,-0.07031200000000004,-0.0043945999999999985,-0.002197299999999996,-0.07031200000000004,0.0065910000000000135,-0.07031200000000004,-0.0043945999999999985,-0.002197299999999996,25,13,69,140,25,56,-0.3559567,1.054687,-0.8151854,0.12304689999999999,210,209,209,1,-1
50,8302,8322,8327,8334,8391,0,0.0241699,20,-0.327393,25,0.6503909999999999,32,-0.09887699999999999,89,0.026367200000000004,10.0,60.5,-0.44824200000000003,-0.013183600000000002,0,0,1,1,1,8512,8512,8513,8513,8513,-0.004394499999999999,-0.015380000000000005,0.0065910000000000135,0.0043945999999999985,0.0,0.0065910000000000135,-0.015380000000000005,0.0065910000000000135,0.0043945999999999985,0.0,25,12,69,141,25,57,-0.3515629,0.977784,-0.7492679999999999,0.1252442,209,210,211,-1,2
51,8512,8532,8538,8545,8602,0,0.019775400000000002,20,-0.342773,26,0.656982,33,-0.0944824,90,0.026367200000000004,10.0,61.5,-0.44824200000000003,-0.0153809,0,-1,-1,-2,-1,8722,8721,8721,8720,8721,0.004394499999999999,-0.04614299999999999,0.12744200000000006,-0.032958600000000005,0.017578100000000003,0.12744200000000006,-0.04614299999999999,0.12744200000000006,-0.032958600000000005,0.017578100000000003,26,13,70,139,26,57,-0.3625484,0.999755,-0.7514643999999999,0.1208496,211,209,209,2,-2
52,8722,8741,8747,8753,8811,0,0.0241699,19,-0.388916,25,0.784424,31,-0.127441,89,0.04394530000000001,9.5,60.0,-0.32959,-0.013183600000000002,0,-7,2,3,-47,8783,8776,8785,8786,8736,-0.030761700000000003,0.3735351,-0.742676,0.127441,-0.024169900000000005,-0.742676,0.3735351,-0.742676,0.127441,-0.024169900000000005,25,12,70,-16,25,58,-0.4130859,1.17334,-0.911865,0.1713863,209,211,63,-2,-146
53,8783,8795,8810,8817,8825,0,-0.006591800000000001,12,-0.0153809,27,0.041748,34,0.0,42,0.019775400000000002,6.0,38.0,-0.0944824,-0.0241699,0,6,-4,-3,48,8931,8937,8927,8928,8979,0.0241699,-0.2746581,0.769043,-0.125244,0.008789099999999998,0.769043,-0.2746581,0.769043,-0.125244,0.008789099999999998,27,22,30,124,27,8,-0.008789099999999998,0.057128899999999996,-0.041748,0.019775400000000002,63,209,144,-146,81
