,R_Peaks0
490,149826
491,150124
492,150433
493,150758
494,151081
495,151394
496,151712
497,152010
498,152302
499,152595
500,152909
501,153239
502,153558
503,153876
504,154185
505,154487
506,154800
507,155119
508,155452
509,155772
510,156074
511,156386
512,156686
513,156984
514,157300
515,157627
516,157943
517,158246
518,158548
519,158843
520,159138
521,159453
522,159778
523,160107
524,160417
525,160728
526,161046
527,161360
528,161687
529,162018
530,162355
531,162671
532,162973
533,163287
534,163593
535,163901
536,164218
537,164530
538,164823
539,165113
540,165411
541,165715
542,166023
543,166340
544,166656
545,166960
546,167249
547,167542
548,167857
549,168169
550,168478
551,168787
552,169101
553,169404
554,169701
555,170017
556,170344
557,170660
558,170980
559,171286
560,171587
561,171882
562,172184
563,172514
564,172831
565,173138
566,173450
567,173759
568,174062
569,174365
570,174692
571,175009
572,175316
573,175615
574,175909
575,176207
576,176503
577,176813
578,177130
579,177438
580,177733
581,178022
582,178312
583,178603
584,178898
585,179208
586,179520
587,179815
588,180116
589,180420
590,180733
591,181053
592,181374
593,181708
594,182023
595,182320
596,182628
597,182943
598,183258
599,183574
600,183902
601,184205
602,184499
603,184800
604,185106
605,185429
606,185745
607,186057
608,186367
609,186663
610,186968
611,187276
612,187601
613,187922
614,188232
615,188546
616,188845
617,189137
618,189444
619,189765
620,190084
621,190398
622,190713
623,191020
624,191329
625,191645
626,191970
627,192311
628,192629
629,192937
630,193251
631,193562
632,193885
633,194216
634,194556
635,194880
636,195185
637,195510
638,195824
639,196147
640,196478
641,196811
642,197129
643,197432
644,197744
645,198056
646,198366
647,198689
648,199010
649,199317
650,199614
651,199917
652,200225
653,200544
654,200866
655,201182
656,201497
657,201795
658,202095
659,202417
660,202735
661,203056
662,203371
663,203683
664,203984
665,204272
666,204578
667,204899
668,205211
669,205522
670,205832
671,206140
672,206447
673,206759
674,207085
675,207401
676,207714
677,208017
678,208322
679,208614
680,208913
681,209237
682,209549
683,209850
684,210146
685,210435
686,210731
687,211025
688,211320
689,211631
690,211926
691,212208
692,212488
693,212770
694,213058
695,213353
696,213657
697,213968
698,214266
699,214556
700,214846
701,215147
702,215452
703,215761
